# 3D Systems, Inc.
# New Model
-0.1552339 0.1685106 0.8421189
-0.1548719 0.1673461 0.8424354
-0.1548304 0.1679391 0.8423818
-0.1547897 0.1685338 0.8423314
-0.1547528 0.1691322 0.8422839
-0.1544277 0.1673875 0.8426457
-0.1543832 0.1679744 0.8425882
-0.1543401 0.1685628 0.8425338
-0.1543004 0.1691547 0.8424826
-0.1535660 0.1674786 0.8430127
-0.1535187 0.1680773 0.8429450
-0.1534750 0.1686770 0.8428790
-0.1534338 0.1692807 0.8428201
-0.1527124 0.1675603 0.8433675
-0.1526646 0.1681654 0.8432928
-0.1526176 0.1687741 0.8432117
-0.1525760 0.1693857 0.8431342
-0.1522594 0.1675870 0.8435458
-0.1522090 0.1681847 0.8434582
-0.1521625 0.1687872 0.8433742
-0.1521203 0.1693914 0.8432935
-0.1518436 0.1670278 0.8438165
-0.1517904 0.1676168 0.8437200
-0.1517407 0.1682090 0.8436256
-0.1516953 0.1688049 0.8435352
-0.1516537 0.1694026 0.8434487
-0.1511949 0.1688298 0.8436922
-0.1511534 0.1694227 0.8435986
-0.1457657 0.1693468 0.8449113
-0.1457694 0.1698511 0.8447421
-0.1451682 0.1694094 0.8449981
-0.1451734 0.1699011 0.8448261
-0.1445688 0.1694743 0.8450775
-0.1445738 0.1699530 0.8449021
-0.1439946 0.1695314 0.8451522
-0.1439915 0.1700023 0.8449738
-0.1434365 0.1695935 0.8452202
-0.1434214 0.1700560 0.8450409
-0.1428769 0.1696595 0.8452958
-0.1428552 0.1701158 0.8451151
-0.1423618 0.1692613 0.8455583
-0.1423256 0.1697190 0.8453704
-0.1422975 0.1701690 0.8451889
-0.1418268 0.1693288 0.8456254
-0.1417840 0.1697780 0.8454357
-0.1417495 0.1702241 0.8452584
-0.1546534 0.1650107 0.8428753
-0.1545978 0.1656083 0.8428101
-0.1549653 0.1661645 0.8425516
-0.1549166 0.1667546 0.8424924
-0.1542234 0.1650617 0.8430926
-0.1541643 0.1656528 0.8430210
-0.1545272 0.1662187 0.8427685
-0.1544756 0.1668022 0.8427062
-0.1533808 0.1651220 0.8435155
-0.1533166 0.1657189 0.8434299
-0.1536686 0.1662905 0.8431567
-0.1536157 0.1668832 0.8430838
-0.1529379 0.1651694 0.8437011
