# 3D Systems, Inc.
# New Model
-0.1308776 0.1720147 0.8788262
-0.1307588 0.1725366 0.8786457
-0.1309677 0.1732778 0.8781593
-0.1301280 0.1706220 0.8799132
-0.1302081 0.1713656 0.8794626
-0.1303513 0.1721269 0.8789990
-0.1302434 0.1726516 0.8788169
-0.1473839 0.1848052 0.8727364
-0.1474338 0.1853931 0.8726566
-0.1474779 0.1859827 0.8725848
-0.1475130 0.1865609 0.8724955
-0.1475424 0.1871375 0.8724115
-0.1475569 0.1877366 0.8723494
-0.1475762 0.1895824 0.8722331
-0.1475769 0.1902056 0.8722272
-0.1474322 0.1882600 0.8722952
-0.1474757 0.1888135 0.8722540
-0.1475309 0.1905603 0.8722131
-0.1475463 0.1911444 0.8722195
-0.1475677 0.1917298 0.8722354
-0.1471164 0.1738666 0.8745668
-0.1471252 0.1744271 0.8744570
-0.1471519 0.1750266 0.8743243
-0.1471999 0.1755910 0.8741487
-0.1472276 0.1762205 0.8740661
-0.1474568 0.1811085 0.8733359
-0.1474648 0.1817058 0.8732267
-0.1474653 0.1823020 0.8731279
-0.1470579 0.1829186 0.8729539
-0.1470819 0.1835197 0.8728694
-0.1471005 0.1841192 0.8727731
-0.1467810 0.1847650 0.8727000
-0.1468312 0.1853631 0.8726376
-0.1468740 0.1859635 0.8725853
-0.1469057 0.1865514 0.8725178
-0.1469328 0.1871326 0.8724543
-0.1469447 0.1877360 0.8724013
-0.1469697 0.1895788 0.8723523
-0.1469761 0.1901956 0.8723558
-0.1469811 0.1908141 0.8723641
-0.1469874 0.1914300 0.8723810
-0.1473452 0.1783224 0.8737364
-0.1473829 0.1789005 0.8736635
-0.1468527 0.1882249 0.8723884
-0.1468960 0.1887858 0.8723611
-0.1465123 0.1738202 0.8744179
-0.1465440 0.1743848 0.8742899
-0.1465900 0.1749935 0.8741450
-0.1466497 0.1755687 0.8739543
-0.1466818 0.1762039 0.8738767
-0.1467267 0.1768443 0.8737851
-0.1467701 0.1774574 0.8736836
-0.1468561 0.1792892 0.8734625
-0.1468735 0.1798923 0.8733780
-0.1468885 0.1804982 0.8732797
-0.1468934 0.1811022 0.8731886
-0.1468903 0.1817017 0.8730919
-0.1468791 0.1823007 0.8730114
-0.1464563 0.1828916 0.8728606
-0.1464730 0.1834992 0.8728052
-0.1461187 0.1841130 0.8727247
-0.1461734 0.1847226 0.8726732
-0.1462221 0.1853297 0.8726289
-0.1462669 0.1859387 0.8725969
-0.1462986 0.1865360 0.8725508
-0.1463243 0.1871243 0.8725076
-0.1463369 0.1877309 0.8724706
-0.1463706 0.1895709 0.8724608
-0.1463815 0.1901830 0.8724742
-0.1463911 0.1907978 0.8724964
-0.1464020 0.1914097 0.8725254
-0.1462881 0.1881803 0.8724574
-0.1463307 0.1887498 0.8724442
-0.1462953 0.1786902 0.8733591
-0.1463199 0.1792989 0.8732904
-0.1463292 0.1799015 0.8732130
-0.1455180 0.1739667 0.8741174
-0.1455302 0.1744731 0.8739897
-0.1455597 0.1749675 0.8738675
-0.1455852 0.1754759 0.8736964
-0.1456244 0.1760310 0.8735545
-0.1456514 0.1766266 0.8734605
-0.1456753 0.1772297 0.8733732
-0.1457093 0.1778504 0.8732894
-0.1458149 0.1803623 0.8730114
-0.1458311 0.1809919 0.8729463
-0.1458431 0.1816203 0.8728806
-0.1458499 0.1822475 0.8728334
-0.1458569 0.1828682 0.8727839
-0.1458628 0.1834829 0.8727418
-0.1455154 0.1840612 0.8726834
-0.1455697 0.1846797 0.8726591
-0.1456168 0.1852938 0.8726342
-0.1456631 0.1859088 0.8726199
-0.1456958 0.1865149 0.8725936
-0.1457217 0.1871108 0.8725713
-0.1457367 0.1877204 0.8725549
-0.1457513 0.1883326 0.8725549
-0.1457669 0.1889472 0.8725635
-0.1457832 0.1895584 0.8725883
-0.1457976 0.1901663 0.8726119
-0.1458109 0.1907779 0.8726453
-0.1458250 0.1913865 0.8726804
-0.1449130 0.1739431 0.8739958
-0.1449352 0.1744485 0.8738565
-0.1449721 0.1749583 0.8737237
-0.1450137 0.1754721 0.8735473
-0.1450649 0.1760340 0.8733919
-0.1450983 0.1766331 0.8732950
-0.1451272 0.1772348 0.8732000
-0.1451668 0.1778598 0.8731175
-0.1451936 0.1784819 0.8730476
-0.1452231 0.1791068 0.8729923
-0.1452415 0.1797293 0.8729375
-0.1452627 0.1816041 0.8727774
-0.1452552 0.1822353 0.8727447
-0.1452476 0.1828618 0.8727177
-0.1452378 0.1834846 0.8726926
-0.1447053 0.1801624 0.8727804
