# 3D Systems, Inc.
# New Model
0.2378900 0.1683831 0.8568453
0.2384252 0.1683245 0.8566492
0.2389749 0.1682751 0.8564468
0.2333666 0.1734003 0.8581788
0.2333459 0.1739820 0.8581396
0.2339326 0.1733730 0.8579976
0.2339162 0.1739611 0.8579593
0.2345510 0.1716024 0.8578921
0.2345360 0.1721883 0.8578657
0.2345195 0.1727651 0.8578385
0.2345038 0.1733534 0.8578132
0.2344908 0.1739464 0.8577779
0.2351529 0.1704007 0.8577434
0.2351306 0.1709754 0.8577242
0.2351122 0.1715678 0.8577028
0.2350997 0.1721610 0.8576778
0.2350867 0.1727483 0.8576526
0.2350740 0.1733433 0.8576285
0.2350634 0.1739414 0.8575971
0.2350469 0.1745339 0.8575657
0.2357510 0.1692272 0.8575895
0.2357215 0.1697828 0.8575717
0.2356995 0.1703519 0.8575546
0.2356815 0.1709379 0.8575358
0.2356667 0.1715380 0.8575155
0.2356566 0.1721392 0.8574918
0.2356462 0.1727368 0.8574680
0.2356369 0.1733385 0.8574468
0.2356281 0.1739414 0.8574188
0.2356151 0.1745405 0.8573907
0.2355982 0.1751377 0.8573617
0.2355802 0.1757346 0.8573295
0.2354054 0.1819377 0.8566581
0.2353799 0.1824878 0.8565723
0.2362835 0.1691545 0.8574000
0.2362592 0.1697229 0.8573832
0.2362417 0.1703070 0.8573664
0.2362280 0.1709057 0.8573481
0.2362168 0.1715139 0.8573292
0.2362085 0.1721237 0.8573074
0.2362006 0.1727312 0.8572855
0.2361945 0.1733389 0.8572664
0.2361872 0.1739471 0.8572419
0.2361772 0.1745529 0.8572164
0.2361644 0.1751557 0.8571895
0.2361509 0.1757553 0.8571586
0.2359864 0.1818848 0.8565342
0.2359615 0.1824296 0.8564531
0.2368697 0.1714014 0.8571098
0.2368584 0.1719655 0.8570957
0.2368461 0.1725323 0.8570813
0.2368346 0.1731127 0.8570646
0.2368177 0.1690894 0.8572104
0.2367964 0.1696712 0.8571941
0.2367816 0.1702700 0.8571779
0.2367710 0.1708808 0.8571603
0.2367409 0.1739593 0.8570663
0.2367343 0.1745720 0.8570433
0.2367275 0.1751813 0.8570189
0.2367194 0.1757835 0.8569889
0.2367115 0.1763836 0.8569583
0.2365653 0.1818288 0.8564099
0.2365427 0.1823685 0.8563318
0.2374582 0.1702152 0.8569422
0.2374401 0.1707845 0.8569313
0.2374212 0.1713660 0.8569220
0.2374116 0.1719445 0.8569089
0.2374028 0.1725233 0.8568959
0.2373947 0.1731112 0.8568807
0.2373949 0.1737040 0.8568629
0.2373448 0.1690294 0.8570211
0.2373291 0.1696251 0.8570053
0.2372854 0.1745961 0.8568723
0.2372823 0.1752112 0.8568483
0.2372806 0.1758161 0.8568213
0.2372777 0.1764173 0.8567938
0.2372561 0.1782437 0.8566758
0.2372458 0.1788580 0.8566234
0.2372269 0.1794717 0.8565614
0.2371428 0.1817723 0.8562854
0.2371211 0.1823070 0.8562068
0.2379834 0.1701685 0.8567575
0.2379715 0.1707474 0.8567467
0.2379587 0.1713383 0.8567380
0.2379515 0.1719292 0.8567266
0.2379455 0.1725188 0.8567145
0.2379400 0.1731132 0.8567012
0.2379410 0.1737106 0.8566872
0.2378796 0.1689770 0.8568278
0.2378744 0.1695874 0.8568115
0.2378392 0.1746255 0.8566994
0.2378381 0.1752458 0.8566779
0.2378390 0.1758524 0.8566562
0.2378383 0.1764540 0.8566303
0.2378191 0.1782604 0.8565239
0.2378087 0.1788620 0.8564767
0.2377895 0.1794605 0.8564176
0.2377150 0.1817154 0.8561604
0.2376955 0.1822477 0.8560813
0.2385106 0.1701168 0.8565718
0.2385042 0.1707108 0.8565611
0.2384964 0.1713131 0.8565533
0.2384904 0.1719153 0.8565451
0.2384849 0.1725142 0.8565340
0.2384800 0.1731139 0.8565232
0.2384810 0.1737162 0.8565130
0.2384782 0.1743149 0.8565044
0.2384197 0.1689285 0.8566322
0.2384200 0.1695548 0.8566158
0.2383959 0.1752840 0.8565089
0.2383957 0.1758925 0.8564900
0.2383952 0.1764957 0.8564675
0.2383876 0.1770946 0.8564419
0.2383823 0.1776886 0.8564107
0.2383760 0.1782769 0.8563732
0.2383661 0.1788640 0.8563303
0.2383481 0.1794489 0.8562749
0.2383340 0.1800122 0.8562197
0.2383138 0.1805765 0.8561599
0.2383044 0.1811307 0.8560964
0.2382914 0.1816606 0.8560329
0.2382779 0.1821925 0.8559572
0.2390524 0.1694935 0.8563905
0.2390502 0.1700832 0.8563805
0.2390467 0.1706902 0.8563710
0.2390417 0.1713016 0.8563651
0.2390373 0.1719130 0.8563594
0.2390325 0.1725212 0.8563509
0.2390281 0.1731265 0.8563427
0.2390285 0.1737344 0.8563360
0.2390273 0.1743405 0.8563304
0.2390244 0.1749441 0.8563211
0.2388835 0.1817918 0.8558706
0.2388571 0.1823629 0.8558006
0.2389756 0.1688907 0.8564300
0.2389549 0.1759332 0.8563218
0.2389533 0.1765376 0.8563028
0.2389415 0.1771311 0.8562818
0.2389328 0.1777184 0.8562550
0.2389250 0.1782940 0.8562237
0.2389150 0.1788662 0.8561839
0.2388982 0.1794400 0.8561341
0.2388851 0.1799842 0.8560840
0.2388659 0.1805379 0.8560280
0.2388590 0.1810862 0.8559682
0.2198668 0.1876957 0.8589368
0.2198837 0.1882193 0.8589081
0.2198982 0.1887632 0.8588941
0.2199240 0.1892782 0.8588930
0.2199348 0.1898144 0.8588998
0.2204299 0.1877153 0.8587918
0.2204463 0.1882432 0.8587599
0.2204616 0.1887910 0.8587399
0.2204878 0.1893089 0.8587422
0.2204977 0.1898448 0.8587472
0.2209630 0.1867072 0.8587637
0.2209847 0.1872284 0.8586972
0.2210016 0.1877292 0.8586488
0.2210128 0.1882652 0.8586153
0.2210282 0.1888181 0.8585951
0.2210485 0.1893407 0.8585933
0.2210623 0.1898759 0.8585997
0.2210758 0.1904110 0.8586168
0.2210888 0.1909387 0.8586645
0.2215459 0.1866984 0.8586304
0.2215686 0.1872221 0.8585595
0.2215805 0.1877327 0.8585100
