# 3D Systems, Inc.
# New Model
0.2121181 0.1699234 0.8113780
0.2121187 0.1704967 0.8113968
0.2121210 0.1710787 0.8114201
0.2121084 0.1716522 0.8114357
0.2120983 0.1722195 0.8114547
0.2120935 0.1727972 0.8114836
0.2120789 0.1733751 0.8114999
0.2120681 0.1739550 0.8115248
0.2124042 0.1698947 0.8110833
0.2124124 0.1704776 0.8110950
0.2124409 0.1710612 0.8111306
0.2124540 0.1716432 0.8111544
0.2124630 0.1722218 0.8111761
0.2124688 0.1728024 0.8111971
0.2124747 0.1733826 0.8112223
0.2124830 0.1739628 0.8112546
0.2130902 0.1702137 0.8104686
0.2131142 0.1707867 0.8105166
0.2131522 0.1713585 0.8105884
0.2131652 0.1719170 0.8106454
0.2125697 0.1669584 0.8107234
0.2125968 0.1675411 0.8107379
0.2126305 0.1681259 0.8107582
0.2126590 0.1687127 0.8107753
0.2126869 0.1693006 0.8107940
0.2127057 0.1698888 0.8108062
0.2128544 0.1728262 0.8109337
0.2128815 0.1734078 0.8109676
0.2129009 0.1739880 0.8109953
0.2134813 0.1676321 0.8094608
0.2135653 0.1682035 0.8095632
0.2136284 0.1687560 0.8096615
0.2136783 0.1693161 0.8097435
0.2137216 0.1698740 0.8098271
0.2129885 0.1662094 0.8098058
0.2130762 0.1667750 0.8098754
0.2131407 0.1673481 0.8099283
0.2134508 0.1708137 0.8102455
0.2135049 0.1713847 0.8103189
0.2135389 0.1719491 0.8103804
0.2135555 0.1725146 0.8104260
0.2135730 0.1730829 0.8104805
0.2133314 0.1740336 0.8107433
0.2137327 0.1676676 0.8091831
0.2138200 0.1682377 0.8092710
0.2138997 0.1687964 0.8093641
0.2139628 0.1693597 0.8094457
0.2140269 0.1699188 0.8095329
0.2131451 0.1662516 0.8094702
0.2132485 0.1668282 0.8095320
0.2133612 0.1673958 0.8096139
0.2137970 0.1708609 0.8099910
0.2138644 0.1714297 0.8100663
0.2139117 0.1719986 0.8101275
0.2139493 0.1725657 0.8101819
0.2139796 0.1731340 0.8102359
0.2140413 0.1662747 0.8081661
0.2141660 0.1668142 0.8082850
0.2142708 0.1673550 0.8083997
0.2143867 0.1678984 0.8085319
0.2137690 0.1740958 0.8104912
0.2136578 0.1660823 0.8086348
0.2141998 0.1688563 0.8090884
0.2142825 0.1694198 0.8091756
0.2143637 0.1699800 0.8092678
0.2144436 0.1705374 0.8093671
0.2145277 0.1710921 0.8094845
0.2145740 0.1716425 0.8095774
0.2146162 0.1721921 0.8096746
0.2146372 0.1727535 0.8097488
0.2143896 0.1654378 0.8072187
0.2145304 0.1659495 0.8073660
0.2146865 0.1664548 0.8075340
0.2148085 0.1669766 0.8076782
0.2149310 0.1674981 0.8078347
0.2150444 0.1680228 0.8079882
0.2151391 0.1685483 0.8081207
0.2144265 0.1737602 0.8100518
0.2149898 0.1695997 0.8086480
0.2150747 0.1701369 0.8087762
0.2151527 0.1706803 0.8089074
0.2149661 0.1717136 0.8093301
0.2150247 0.1722646 0.8094264
0.2150614 0.1728176 0.8095030
0.2150994 0.1733752 0.8095911
0.2146996 0.1655983 0.8069586
0.2148467 0.1660840 0.8071119
0.2150006 0.1665842 0.8072769
0.2151251 0.1670935 0.8074215
0.2152521 0.1676043 0.8075794
0.2153548 0.1681300 0.8077206
0.2154634 0.1686462 0.8078808
0.2149003 0.1743953 0.8098707
0.2153466 0.1696902 0.8083949
0.2154429 0.1702240 0.8085304
0.2155381 0.1707621 0.8086740
0.2153625 0.1657315 0.8063559
0.2154822 0.1662247 0.8065156
0.2156341 0.1667052 0.8067179
0.2157723 0.1671905 0.8069145
0.2153633 0.1717909 0.8090995
0.2154333 0.1723387 0.8091959
0.2154777 0.1728894 0.8092662
0.2155283 0.1734416 0.8093559
0.2157268 0.1682324 0.8074950
0.2158325 0.1687485 0.8076424
0.2159325 0.1692629 0.8077914
0.2160425 0.1697700 0.8079541
0.2161385 0.1702993 0.8080988
0.2158617 0.1653293 0.8056470
0.2159824 0.1657908 0.8058511
0.2161158 0.1662577 0.8060672
0.2162367 0.1667334 0.8062747
0.2153534 0.1744685 0.8096422
0.2160224 0.1713806 0.8085866
0.2162645 0.1677958 0.8068739
0.2163715 0.1682903 0.8070489
0.2164923 0.1687899 0.8072256
0.2158305 0.1724260 0.8089438
0.2158959 0.1729689 0.8090331
0.2159569 0.1735159 0.8091277
0.2160019 0.1740692 0.8092062
0.2164378 0.1698689 0.8077367
0.2165219 0.1703977 0.8078816
0.2166154 0.1709175 0.8080477
0.2162830 0.1654754 0.8054370
0.2163937 0.1659208 0.8056350
0.2165102 0.1663832 0.8058468
0.2166342 0.1668389 0.8060754
0.2164895 0.1720073 0.8084630
0.2165358 0.1725523 0.8085661
0.2166605 0.1679133 0.8066478
0.2167715 0.1684028 0.8068321
0.2168749 0.1688957 0.8070132
0.2167015 0.1650370 0.8047404
0.2168440 0.1654572 0.8050154
0.2169709 0.1659024 0.8052691
0.2164050 0.1735971 0.8089096
0.2164507 0.1741455 0.8089817
0.2168587 0.1699690 0.8075309
