# 3D Systems, Inc.
# New Model
0.0712584 0.2878155 0.8835926
0.0716720 0.2868707 0.8836017
0.0717224 0.2873527 0.8835497
0.0717560 0.2878532 0.8834865
0.0721885 0.2868965 0.8835261
0.0722297 0.2873801 0.8834652
0.0722581 0.2878839 0.8834115
0.0727004 0.2869202 0.8834608
0.0727340 0.2874079 0.8833953
0.0727647 0.2879043 0.8833386
0.0732496 0.2869282 0.8833975
0.0732699 0.2874184 0.8833319
0.0732903 0.2879161 0.8832765
0.0737869 0.2869346 0.8833503
0.0737957 0.2874290 0.8832816
0.0738080 0.2879297 0.8832273
0.0743501 0.2879377 0.8831905
0.0749187 0.2879450 0.8831675
0.0754765 0.2879505 0.8831458
0.0760640 0.2879485 0.8831366
0.0766665 0.2879486 0.8831294
0.0859362 0.2726575 0.8830686
0.0859126 0.2731918 0.8829945
0.0858934 0.2737349 0.8829291
0.0858679 0.2742731 0.8828945
0.0858453 0.2748209 0.8828704
0.0858232 0.2753863 0.8828554
0.0857992 0.2759464 0.8828288
0.0712986 0.2882990 0.8835568
0.0713187 0.2887874 0.8835325
0.0713376 0.2892853 0.8835243
0.0713655 0.2898302 0.8835279
0.0717856 0.2883359 0.8834487
0.0718046 0.2888219 0.8834399
0.0718229 0.2893144 0.8834293
0.0718529 0.2898541 0.8834297
0.0718538 0.2903477 0.8834306
0.0722816 0.2883619 0.8833782
0.0722981 0.2888457 0.8833565
0.0723176 0.2893354 0.8833581
0.0723465 0.2898751 0.8833549
0.0723477 0.2903648 0.8833472
0.0727829 0.2883782 0.8833007
0.0727978 0.2888588 0.8832743
0.0728165 0.2893478 0.8832793
0.0728479 0.2898912 0.8832756
0.0728499 0.2903800 0.8832685
0.0733032 0.2883949 0.8832416
0.0733187 0.2888781 0.8832104
0.0733397 0.2893682 0.8832134
0.0733703 0.2899102 0.8832042
0.0733715 0.2903941 0.8831976
0.0733705 0.2908746 0.8832154
0.0733945 0.2914012 0.8832353
0.0738125 0.2884145 0.8831881
0.0738255 0.2889025 0.8831548
0.0738469 0.2893951 0.8831548
0.0738745 0.2899400 0.8831440
0.0738786 0.2904180 0.8831333
0.0738803 0.2908942 0.8831482
0.0739023 0.2914241 0.8831750
0.0743557 0.2884196 0.8831522
0.0743648 0.2889149 0.8831149
0.0743856 0.2894121 0.8831122
0.0744073 0.2899649 0.8830974
0.0749194 0.2884322 0.8831254
0.0749324 0.2889227 0.8830886
0.0749495 0.2894248 0.8830810
0.0749642 0.2899880 0.8830622
0.0754739 0.2884434 0.8830995
0.0754880 0.2889373 0.8830684
0.0755013 0.2894382 0.8830517
0.0755115 0.2900001 0.8830317
0.0760579 0.2884473 0.8830862
0.0760837 0.2894502 0.8830303
0.0760944 0.2900150 0.8830119
0.0766588 0.2884508 0.8830783
0.0766829 0.2894631 0.8830207
0.0766937 0.2900306 0.8830001
0.0822741 0.3028328 0.8818903
0.0822701 0.3034135 0.8818449
0.0822644 0.3040028 0.8818049
0.0828966 0.3028293 0.8817501
0.0828930 0.3034162 0.8816992
0.0828857 0.3040144 0.8816534
0.0835109 0.3022289 0.8816566
0.0835046 0.3028215 0.8815954
0.0834986 0.3034156 0.8815403
0.0834877 0.3040226 0.8814881
0.0841400 0.3010295 0.8816773
0.0841256 0.3016195 0.8815892
0.0841146 0.3022094 0.8815067
0.0841040 0.3028085 0.8814392
0.0840906 0.3034102 0.8813732
0.0840749 0.3040256 0.8813148
0.0840602 0.3046502 0.8812650
0.0840508 0.3052751 0.8812284
0.0840446 0.3059052 0.8812028
0.0840618 0.3103586 0.8812105
0.0840758 0.3109941 0.8812468
0.0840926 0.3116307 0.8812890
0.0847541 0.3009974 0.8815519
0.0847351 0.3015872 0.8814578
0.0847160 0.3021809 0.8813665
0.0846967 0.3027861 0.8812893
0.0846744 0.3033991 0.8812191
0.0846518 0.3040235 0.8811541
0.0846310 0.3046537 0.8811005
0.0846160 0.3052867 0.8810611
0.0846052 0.3059211 0.8810338
0.0846274 0.3103595 0.8810451
0.0846450 0.3109933 0.8810829
0.0846635 0.3116265 0.8811287
0.0853793 0.3003768 0.8815310
0.0853589 0.3009625 0.8814251
0.0853335 0.3015513 0.8813250
0.0853054 0.3021485 0.8812267
0.0852757 0.3027580 0.8811395
0.0852448 0.3033815 0.8810651
0.0852153 0.3040137 0.8809939
0.0851891 0.3046503 0.8809388
0.0851669 0.3052926 0.8808991
0.0851506 0.3059318 0.8808694
0.0851396 0.3065706 0.8808538
0.0851345 0.3072055 0.8808396
0.0851332 0.3078368 0.8808249
0.0851366 0.3084664 0.8808201
0.0851436 0.3090965 0.8808260
0.0851610 0.3097297 0.8808479
0.0851817 0.3103650 0.8808788
0.0852041 0.3109994 0.8809191
0.0852256 0.3116299 0.8809687
0.1026957 0.2593461 0.8826188
0.1026210 0.2598573 0.8825437
0.1025516 0.2604090 0.8824655
0.1031576 0.2592972 0.8824898
0.1030831 0.2598213 0.8823923
0.1030183 0.2603785 0.8823116
0.1039995 0.2592346 0.8822296
0.1039448 0.2596997 0.8821502
0.1038882 0.2601893 0.8820842
0.1038368 0.2607060 0.8820128
0.1038175 0.2576887 0.8826453
0.1037584 0.2582016 0.8825431
0.1036925 0.2587138 0.8824404
0.1048078 0.2593053 0.8820186
0.1045992 0.2569163 0.8826211
0.1045888 0.2574064 0.8825003
0.1045566 0.2578783 0.8823831
0.1044103 0.2596744 0.8820358
0.1043590 0.2601661 0.8819644
0.1043084 0.2606859 0.8818924
0.1053007 0.2583589 0.8821346
0.1052060 0.2592804 0.8819451
0.1050231 0.2568818 0.8825360
0.1050122 0.2573695 0.8824128
0.1049792 0.2578477 0.8823037
0.1048685 0.2596614 0.8819347
0.1048315 0.2601483 0.8818628
0.1047878 0.2606753 0.8817878
0.1056178 0.2592679 0.8818671
0.1055840 0.2597020 0.8817867
0.1055806 0.2600149 0.8817376
0.1055555 0.2604347 0.8816886
0.1054165 0.2568662 0.8824637
0.1054196 0.2573458 0.8823513
0.1053005 0.2560521 0.8827104
0.1059739 0.2596841 0.8817256
0.1059898 0.2599917 0.8816780
0.1059692 0.2604078 0.8816305
0.1058308 0.2568483 0.8824024
0.1058391 0.2573232 0.8822903
0.1057900 0.2560197 0.8826242
0.1064290 0.2579355 0.8820560
0.1063647 0.2596766 0.8816869
0.1063913 0.2599793 0.8816433
0.1063805 0.2603891 0.8815938
0.1062743 0.2568264 0.8823366
0.1062853 0.2572993 0.8822234
0.1062964 0.2559838 0.8825575
0.1067811 0.2579507 0.8820020
0.1067771 0.2596593 0.8816402
0.1067910 0.2599522 0.8816065
0.1067909 0.2603589 0.8815507
0.1067580 0.2568000 0.8822905
0.1067670 0.2572675 0.8821764
0.1068288 0.2559576 0.8825036
0.1072074 0.2579592 0.8819674
