# 3D Systems, Inc.
# New Model
-0.1526966 0.1899270 0.8218385
-0.1526541 0.1883791 0.8221563
-0.1526466 0.1904368 0.8217736
-0.1526067 0.1909585 0.8217252
-0.1525717 0.1914906 0.8216850
-0.1522770 0.1905132 0.8219811
-0.1522325 0.1910165 0.8219367
-0.1521945 0.1915376 0.8219038
-0.1521579 0.1895226 0.8222333
-0.1521011 0.1900453 0.8221742
-0.1518951 0.1905724 0.8222089
-0.1518504 0.1910700 0.8221659
-0.1518114 0.1915828 0.8221326
-0.1539298 0.2023863 0.8220514
-0.1538746 0.2018445 0.8219687
-0.1534665 0.1995940 0.8217416
-0.1533540 0.2012078 0.8221086
-0.1533073 0.2006633 0.8220309
-0.1530664 0.1974922 0.8215958
-0.1529982 0.1995081 0.8219513
-0.1530186 0.1969650 0.8215340
-0.1529863 0.1964263 0.8214899
-0.1529516 0.1989821 0.8218822
-0.1529060 0.1984423 0.8218125
-0.1528279 0.2005730 0.8222438
-0.1525569 0.1963780 0.8217022
-0.1524952 0.1931100 0.8215933
-0.1525269 0.1958466 0.8216593
-0.1524836 0.1936546 0.8215765
-0.1525070 0.1953012 0.8216286
-0.1524817 0.1942007 0.8215784
-0.1524985 0.1947505 0.8216167
-0.1524438 0.1983770 0.8220230
-0.1524069 0.1978443 0.8219523
-0.1523690 0.1973037 0.8218912
-0.1522512 0.1994008 0.8222895
-0.1521071 0.1931191 0.8218247
-0.1520853 0.1941941 0.8218005
-0.1520916 0.1947298 0.8218233
-0.1519672 0.1977886 0.8221660
-0.1519334 0.1972575 0.8221068
-0.1519043 0.1967132 0.8220459
-0.1518845 0.1961662 0.8220042
-0.1518637 0.1956120 0.8219638
-0.1518600 0.1939209 0.8219302
-0.1517184 0.1931325 0.8220479
-0.1516868 0.1941940 0.8220257
-0.1516859 0.1947190 0.8220470
-0.1515326 0.1977309 0.8223766
-0.1515012 0.1972082 0.8223200
-0.1514814 0.1966721 0.8222709
-0.1514650 0.1961321 0.8222261
-0.1514613 0.1939241 0.8221680
-0.1514529 0.1955851 0.8221958
-0.1510915 0.1933831 0.8223975
-0.1510719 0.1939313 0.8223946
-0.1510558 0.1944799 0.8223963
-0.1510547 0.1950253 0.8224126
-0.1510474 0.1961134 0.8224506
-0.1510465 0.1955747 0.8224194
-0.1525315 0.1920258 0.8216361
-0.1525148 0.1925660 0.8216218
-0.1521567 0.1920614 0.8218714
-0.1521282 0.1925865 0.8218509
-0.1517728 0.1920963 0.8221007
-0.1517435 0.1926103 0.8220730
-0.1511241 0.1928381 0.8224285
-0.1545522 0.2102195 0.8221019
-0.1545081 0.2107750 0.8220321
-0.1545045 0.2125307 0.8218072
-0.1544769 0.2113282 0.8219730
-0.1544582 0.2118878 0.8219222
-0.1544542 0.2130809 0.8217367
-0.1544135 0.2136277 0.8216564
-0.1543817 0.2141725 0.8215796
-0.1543585 0.2147236 0.8215213
-0.1543431 0.2152830 0.8214520
-0.1543401 0.2175921 0.8212110
-0.1543370 0.2158515 0.8213926
-0.1543385 0.2170072 0.8212646
-0.1543347 0.2164248 0.8213276
-0.1539383 0.2113986 0.8221332
-0.1539414 0.2126222 0.8219518
-0.1539107 0.2119448 0.8220728
-0.1538897 0.2131602 0.8218736
-0.1538514 0.2136945 0.8217964
-0.1538202 0.2142280 0.8217170
-0.1537949 0.2147679 0.8216502
-0.1537792 0.2153161 0.8215830
-0.1537752 0.2175963 0.8213546
-0.1537701 0.2158730 0.8215131
-0.1537714 0.2170134 0.8213889
-0.1537664 0.2164361 0.8214471
-0.1533631 0.2120197 0.8222322
-0.1533363 0.2125515 0.8221459
-0.1533217 0.2130882 0.8220548
-0.1532858 0.2137658 0.8219369
-0.1532583 0.2142878 0.8218570
-0.1532339 0.2148116 0.8217773
-0.1532173 0.2153504 0.8217089
-0.1532077 0.2158965 0.8216429
-0.1532058 0.2170166 0.8215377
-0.1532066 0.2175929 0.8215037
-0.1532041 0.2164504 0.8215882
-0.1527847 0.2126223 0.8222967
-0.1527633 0.2131451 0.8222040
-0.1527220 0.2138358 0.8220794
-0.1526947 0.2143480 0.8219981
-0.1526718 0.2148622 0.8219189
-0.1526543 0.2153897 0.8218451
-0.1526468 0.2159233 0.8217811
-0.1526417 0.2164648 0.8217334
-0.1525739 0.2177631 0.8216682
-0.1525551 0.2172689 0.8216970
-0.1525457 0.2168059 0.8217340
-0.1522073 0.2132129 0.8223509
-0.1521650 0.2139210 0.8222271
-0.1521409 0.2144164 0.8221385
-0.1521174 0.2149169 0.8220570
-0.1520865 0.2164795 0.8218786
-0.1520434 0.2177222 0.8218217
-0.1520340 0.2172378 0.8218491
-0.1520182 0.2167994 0.8218758
-0.1519903 0.2154343 0.8220105
-0.1519864 0.2159095 0.8219600
-0.1516121 0.2140046 0.8223692
-0.1515917 0.2144888 0.8222892
-0.1515684 0.2149763 0.8222035
-0.1515406 0.2164946 0.8220301
-0.1515115 0.2172207 0.8220047
-0.1514945 0.2167938 0.8220245
-0.1514499 0.2154905 0.8221547
-0.1514518 0.2159477 0.8221044
-0.1510427 0.2145616 0.8224337
-0.1510253 0.2150396 0.8223571
-0.1509926 0.2172049 0.8221621
-0.1509807 0.2176399 0.8221494
-0.1509829 0.2167815 0.8221791
-0.1509578 0.2163712 0.8222102
-0.1509411 0.2155228 0.8223027
-0.1509435 0.2159660 0.8222556
-0.1505012 0.2150967 0.8225053
-0.1505042 0.2171960 0.8223138
-0.1504957 0.2167764 0.8223302
-0.1504895 0.2176063 0.8223091
-0.1504695 0.2163824 0.8223635
-0.1504511 0.2159962 0.8224005
-0.1504469 0.2155699 0.8224454
-0.1500059 0.2171853 0.8224658
-0.1499969 0.2167755 0.8224823
-0.1499770 0.2179433 0.8224777
-0.1499657 0.2156229 0.8225918
-0.1499763 0.2163959 0.8225162
-0.1499674 0.2160286 0.8225470
-0.1495315 0.2171700 0.8226172
-0.1495194 0.2167723 0.8226329
-0.1494987 0.2164153 0.8226592
-0.1547722 0.2291455 0.8200935
-0.1546874 0.2228672 0.8206666
-0.1547460 0.2297356 0.8200703
-0.1546534 0.2234504 0.8206461
-0.1547231 0.2303264 0.8200521
-0.1546984 0.2309199 0.8200285
-0.1546094 0.2240376 0.8206101
-0.1545668 0.2246172 0.8205815
-0.1545300 0.2251926 0.8205651
-0.1545154 0.2218783 0.8207900
-0.1545426 0.2262767 0.8204806
-0.1545342 0.2268585 0.8204515
-0.1544966 0.2257829 0.8205569
-0.1545191 0.2274322 0.8204248
-0.1544354 0.2224473 0.8207961
-0.1545001 0.2280124 0.8203964
-0.1544806 0.2285945 0.8203681
-0.1544591 0.2291761 0.8203422
-0.1544383 0.2297596 0.8203189
-0.1544195 0.2303427 0.8203005
-0.1543956 0.2309294 0.8202778
-0.1543356 0.2181794 0.8211576
-0.1543286 0.2187678 0.8211130
-0.1543153 0.2193586 0.8210624
-0.1543006 0.2199487 0.8210187
-0.1542870 0.2205409 0.8209799
-0.1542720 0.2211355 0.8209454
-0.1542381 0.2229127 0.8208928
-0.1542200 0.2235029 0.8208723
-0.1541995 0.2240899 0.8208558
-0.1541726 0.2246754 0.8208300
-0.1541554 0.2252584 0.8208220
-0.1541692 0.2286202 0.8206082
-0.1541340 0.2258444 0.8208121
-0.1541542 0.2291984 0.8205840
-0.1540964 0.2309403 0.8205210
-0.1539963 0.2219691 0.8210018
-0.1539496 0.2225356 0.8210384
-0.1537808 0.2253021 0.8210722
-0.1537706 0.2258859 0.8210622
-0.1537725 0.2211189 0.8211518
-0.1537609 0.2264732 0.8210531
-0.1537682 0.2205230 0.8211766
-0.1537423 0.2270597 0.8210350
-0.1537654 0.2199315 0.8212073
-0.1537650 0.2193455 0.8212428
-0.1537702 0.2181780 0.8213059
-0.1537686 0.2187607 0.8212794
-0.1537270 0.2276482 0.8210213
-0.1537082 0.2282379 0.8210049
-0.1536449 0.2300105 0.8209510
-0.1536211 0.2306029 0.8209293
-0.1535052 0.2220261 0.8212473
-0.1534721 0.2225964 0.8212702
-0.1534461 0.2231696 0.8212945
-0.1534176 0.2237417 0.8213080
-0.1533873 0.2243223 0.8213186
-0.1533712 0.2249001 0.8213382
-0.1533692 0.2288468 0.8212430
-0.1533532 0.2294337 0.8212246
-0.1532726 0.2210748 0.8213575
-0.1532497 0.2204815 0.8213711
-0.1532292 0.2198943 0.8213970
-0.1532164 0.2193139 0.8214229
-0.1532104 0.2187391 0.8214504
-0.1532055 0.2181650 0.8214631
-0.1530510 0.2288606 0.8214929
-0.1530284 0.2220507 0.8214827
-0.1530396 0.2294452 0.8214701
-0.1530156 0.2226238 0.8215107
-0.1530073 0.2232008 0.8215378
-0.1529871 0.2243634 0.8215688
-0.1529983 0.2237789 0.8215563
-0.1529806 0.2249470 0.8215833
-0.1529735 0.2255338 0.8215960
-0.1529630 0.2261203 0.8216012
-0.1529622 0.2267055 0.8216193
-0.1529473 0.2272997 0.8216176
-0.1529296 0.2278955 0.8216128
-0.1529124 0.2284912 0.8216069
-0.1528467 0.2302799 0.8215680
-0.1528239 0.2308739 0.8215470
-0.1527538 0.2210091 0.8215736
-0.1527117 0.2204150 0.8215791
-0.1526109 0.2267380 0.8218726
-0.1526830 0.2198332 0.8215905
-0.1526007 0.2261480 0.8218545
-0.1525999 0.2255576 0.8218476
-0.1525939 0.2249685 0.8218317
