# 3D Systems, Inc.
# New Model
-0.1515875 0.2616192 0.8004606
-0.1515805 0.2621856 0.8004879
-0.1511070 0.2588451 0.8004536
-0.1510882 0.2593995 0.8004409
-0.1510776 0.2599565 0.8004739
-0.1510680 0.2605142 0.8005174
-0.1510539 0.2610700 0.8005448
-0.1510379 0.2616278 0.8005700
-0.1510243 0.2621920 0.8005828
-0.1510059 0.2627416 0.8006636
-0.1509862 0.2632809 0.8007372
-0.1506327 0.2583469 0.8006806
-0.1506016 0.2588971 0.8006425
-0.1505743 0.2594423 0.8006207
-0.1505518 0.2599892 0.8006376
-0.1505309 0.2605387 0.8006647
-0.1505075 0.2610876 0.8006769
-0.1504835 0.2616400 0.8006848
-0.1504662 0.2622032 0.8006635
-0.1504456 0.2627539 0.8007143
-0.1504253 0.2632946 0.8007685
-0.1500171 0.2600239 0.8007978
-0.1499877 0.2605652 0.8008078
-0.1499595 0.2611084 0.8008054
-0.1499337 0.2616574 0.8008003
-0.1499124 0.2622169 0.8007666
-0.1494889 0.2600589 0.8009536
-0.1494533 0.2605952 0.8009369
-0.1494212 0.2611347 0.8009159
-0.1493930 0.2616812 0.8008974
-0.1493705 0.2622393 0.8008573
-0.1488553 0.2617104 0.8009948
-0.1488307 0.2622665 0.8009487
-0.1405946 0.1679209 0.8105122
-0.1405186 0.1684094 0.8102939
-0.1405683 0.1718688 0.8098115
-0.1405575 0.1723892 0.8098112
-0.1403324 0.1636771 0.8120696
-0.1402923 0.1642212 0.8119174
-0.1402400 0.1647452 0.8117284
-0.1402015 0.1652711 0.8115837
-0.1402278 0.1659033 0.8112917
-0.1401736 0.1664253 0.8111079
-0.1401197 0.1669375 0.8109308
-0.1400648 0.1674461 0.8107569
-0.1400044 0.1679541 0.8105800
-0.1399251 0.1684532 0.8103792
-0.1400254 0.1691644 0.8101725
-0.1397999 0.1614525 0.8126366
-0.1397756 0.1620157 0.8125519
-0.1397423 0.1625659 0.8124496
-0.1397173 0.1631108 0.8123490
-0.1396975 0.1636581 0.8122401
-0.1401099 0.1698192 0.8100267
-0.1400868 0.1703302 0.8099729
-0.1400602 0.1708419 0.8098947
-0.1400413 0.1713646 0.8098693
-0.1400289 0.1718851 0.8099082
-0.1400134 0.1723991 0.8099150
-0.1399049 0.1608137 0.8126915
-0.1397337 0.1642506 0.8120197
-0.1396778 0.1647795 0.8118338
-0.1396368 0.1653105 0.8116921
-0.1394770 0.1668263 0.8111999
-0.1396859 0.1659490 0.8114219
-0.1396304 0.1664760 0.8112369
