# 3D Systems, Inc.
# New Model
0.2207194 0.1963188 0.8238701
0.2207215 0.1967786 0.8238157
0.2207170 0.1972558 0.8237781
0.2207239 0.1977262 0.8237477
0.2211802 0.1954178 0.8238811
0.2211933 0.1958605 0.8237935
0.2212028 0.1963218 0.8237258
0.2212043 0.1967883 0.8236699
0.2212001 0.1972653 0.8236258
0.2212087 0.1977436 0.8235930
0.2212223 0.1982207 0.8235923
0.2212298 0.1987236 0.8235832
0.2216726 0.1954058 0.8237449
0.2216810 0.1958559 0.8236552
0.2216870 0.1963236 0.8235865
0.2216891 0.1967948 0.8235279
0.2216844 0.1972754 0.8234803
0.2216930 0.1977591 0.8234423
0.2217094 0.1982446 0.8234374
0.2217168 0.1987521 0.8234191
0.2222638 0.1963797 0.8234025
0.2222936 0.1967876 0.8233324
0.2223151 0.1972155 0.8232809
0.2223168 0.1976385 0.8232393
0.2223244 0.1980633 0.8232272
0.2223400 0.1985118 0.8232124
0.2221772 0.1953809 0.8236088
0.2221807 0.1958363 0.8235149
0.2222306 0.1992862 0.8232502
0.2222547 0.1997948 0.8232783
0.2222828 0.2003008 0.8233249
0.2227440 0.1959545 0.8233353
0.2227526 0.1963737 0.8232607
0.2227840 0.1967838 0.8231780
0.2228071 0.1972165 0.8231245
0.2228119 0.1976413 0.8230794
0.2228271 0.1980671 0.8230634
0.2228397 0.1985257 0.8230397
0.2226989 0.1953401 0.8234789
0.2227300 0.1993285 0.8230755
0.2227578 0.1998457 0.8231051
0.2227867 0.2003602 0.8231526
0.2228184 0.2008692 0.8232089
0.2232051 0.1959325 0.8232082
0.2232183 0.1963583 0.8231257
0.2232649 0.1967707 0.8230324
0.2232941 0.1972087 0.8229729
0.2233027 0.1976381 0.8229203
0.2233210 0.1980733 0.8229027
0.2233332 0.1985412 0.8228709
0.2232344 0.1952872 0.8233410
0.2232381 0.1993731 0.8228928
0.2232683 0.1999037 0.8229266
0.2232971 0.2004250 0.8229716
0.2233296 0.2009408 0.8230210
0.2233758 0.2014501 0.8230913
0.2234218 0.2019581 0.8231789
0.2237081 0.1958946 0.8230739
0.2237287 0.1963225 0.8229836
0.2237728 0.1967430 0.8228823
0.2237944 0.1971900 0.8228165
0.2237997 0.1976296 0.8227640
0.2238166 0.1980797 0.8227433
0.2238282 0.1985588 0.8227031
0.2238452 0.1990322 0.8226796
0.2238692 0.1994992 0.8226803
0.2239130 0.1999896 0.8226969
0.2237631 0.1952390 0.8232110
0.2238376 0.2010130 0.8228399
0.2238814 0.2015294 0.8229136
0.2239245 0.2020413 0.8229888
0.2242316 0.1962946 0.8228472
0.2242683 0.1967255 0.8227378
0.2242909 0.1971757 0.8226669
0.2242905 0.1976266 0.8226132
0.2243090 0.1980868 0.8225884
0.2243213 0.1985759 0.8225421
0.2243440 0.1990623 0.8225045
0.2243749 0.1995454 0.8225024
0.2244164 0.2000474 0.8225147
0.2244413 0.2005450 0.8225502
0.2243034 0.1951916 0.8230824
0.2243036 0.1956628 0.8229676
0.2243841 0.2016120 0.8227207
0.2244292 0.2021264 0.8228036
0.2244778 0.2026402 0.8228955
0.2247848 0.1967020 0.8225859
0.2248045 0.1971637 0.8225206
0.2247984 0.1976219 0.8224575
0.2248179 0.1980954 0.8224306
0.2248360 0.1985979 0.8223769
0.2248549 0.1990953 0.8223367
0.2248847 0.1995895 0.8223235
0.2249216 0.2001065 0.8223287
0.2249463 0.2006116 0.8223651
0.2248495 0.1951450 0.8229566
0.2248499 0.1956206 0.8228393
0.2248484 0.1961109 0.8227140
0.2248947 0.2016962 0.8225387
0.2249396 0.2022135 0.8226235
0.2249866 0.2027297 0.8227129
0.2253082 0.1971543 0.8223798
0.2253120 0.1976141 0.8223019
0.2253488 0.1986174 0.8222129
0.2253635 0.1991242 0.8221783
0.2253948 0.1996282 0.8221530
0.2254215 0.2001610 0.8221448
0.2254423 0.2006720 0.8221904
0.2253889 0.1955830 0.8227049
0.2253888 0.1960780 0.8225712
0.2253891 0.1965909 0.8224319
0.2253981 0.1983144 0.8222123
0.2254119 0.2017777 0.8223580
0.2254513 0.2022998 0.8224433
0.2254929 0.2028170 0.8225335
0.2259302 0.1965653 0.8222860
0.2259582 0.1983025 0.8220512
0.2259358 0.2018608 0.8221588
0.2259701 0.2023861 0.8222537
0.2260051 0.2029079 0.8223414
0.2260445 0.2034399 0.8224221
0.2260929 0.2039575 0.8225323
0.2159114 0.2393254 0.8234676
0.2158901 0.2398498 0.8234417
0.2158670 0.2403752 0.8234425
0.2158420 0.2408990 0.8234435
0.2163924 0.2392894 0.8232781
0.2163699 0.2398225 0.8232545
0.2163469 0.2403578 0.8232508
0.2163245 0.2408907 0.8232530
0.2170277 0.2371943 0.8233120
0.2169809 0.2376968 0.8232373
0.2169395 0.2382074 0.8231854
0.2169037 0.2387403 0.8231357
0.2168727 0.2392650 0.8230979
0.2168495 0.2398081 0.8230711
0.2168308 0.2403513 0.8230687
0.2168094 0.2408919 0.8230653
0.2167954 0.2414325 0.8230771
0.2167920 0.2419788 0.8231011
0.2167912 0.2425304 0.8231318
