# 3D Systems, Inc.
# New Model
0.0277759 0.1771649 0.8922494
0.0277605 0.1777813 0.8922326
0.0277487 0.1783969 0.8922260
0.0277404 0.1789920 0.8922115
0.0277297 0.1795953 0.8922000
0.0282773 0.1771323 0.8920468
0.0282632 0.1777511 0.8920369
0.0282541 0.1783703 0.8920365
0.0282458 0.1789747 0.8920270
0.0282346 0.1795847 0.8920206
0.0291299 0.1788179 0.8917857
0.0291116 0.1793917 0.8917903
0.0290917 0.1799792 0.8917998
0.0288457 0.1752400 0.8919240
0.0288227 0.1758508 0.8919004
0.0288018 0.1764682 0.8918860
0.0287869 0.1770901 0.8918772
0.0287756 0.1777149 0.8918734
0.0287705 0.1783437 0.8918768
0.0296130 0.1781963 0.8916418
0.0296027 0.1787839 0.8916550
0.0295845 0.1793597 0.8916700
0.0295640 0.1799477 0.8916876
0.0293715 0.1745734 0.8917530
0.0293473 0.1751875 0.8917311
0.0293287 0.1758040 0.8917176
0.0293147 0.1764256 0.8917108
0.0293083 0.1770527 0.8917137
0.0293007 0.1776831 0.8917170
0.0301102 0.1781590 0.8915085
0.0300975 0.1787567 0.8915356
0.0300706 0.1793386 0.8915558
0.0300454 0.1799297 0.8915785
0.0298913 0.1745146 0.8915352
0.0298752 0.1751357 0.8915279
0.0298643 0.1757587 0.8915286
0.0298572 0.1763867 0.8915354
0.0298570 0.1770197 0.8915531
0.0298551 0.1776560 0.8915613
0.0306416 0.1768576 0.8913429
0.0306334 0.1774815 0.8913753
0.0306207 0.1781096 0.8914246
0.0306102 0.1787223 0.8914569
0.0305835 0.1793195 0.8914869
0.0305584 0.1799205 0.8915142
0.0304417 0.1738421 0.8913191
0.0304377 0.1744688 0.8913292
0.0304337 0.1750954 0.8913398
0.0304319 0.1757259 0.8913475
0.0304324 0.1763615 0.8913619
0.0312274 0.1743515 0.8910624
0.0312138 0.1749687 0.8910921
0.0311984 0.1762044 0.8911592
0.0311951 0.1768272 0.8911952
0.0311912 0.1774547 0.8912348
0.0311810 0.1780885 0.8912951
0.0311622 0.1787013 0.8913288
0.0311280 0.1792994 0.8913690
0.0311031 0.1799027 0.8914217
0.0309956 0.1731633 0.8910510
0.0310006 0.1737997 0.8910790
0.0310191 0.1757047 0.8911726
0.0317616 0.1742742 0.8909177
0.0317530 0.1748985 0.8909572
0.0317431 0.1761460 0.8910593
0.0317382 0.1767758 0.8911123
0.0317333 0.1774052 0.8911688
0.0317231 0.1780482 0.8912419
0.0316953 0.1786668 0.8912871
0.0316540 0.1792685 0.8913393
0.0316118 0.1798652 0.8913824
0.0315995 0.1731435 0.8908813
0.0316125 0.1737813 0.8909190
0.0316486 0.1757035 0.8910404
0.0323378 0.1736103 0.8906538
0.0323368 0.1742461 0.8907311
0.0323288 0.1748644 0.8907997
0.0323219 0.1754863 0.8908747
0.0323134 0.1761091 0.8909457
0.0323044 0.1767386 0.8910163
0.0322948 0.1773665 0.8910942
0.0322780 0.1780128 0.8911999
0.0322334 0.1786297 0.8912798
0.0321821 0.1792326 0.8913289
0.0321270 0.1798286 0.8913820
0.0322162 0.1731620 0.8906615
0.0329181 0.1729220 0.8903478
0.0329195 0.1735618 0.8904558
0.0329174 0.1741943 0.8905563
0.0329132 0.1748246 0.8906608
0.0329012 0.1754476 0.8907526
0.0328872 0.1760683 0.8908458
0.0328703 0.1766944 0.8909473
0.0328525 0.1773184 0.8910498
0.0328225 0.1779642 0.8911757
0.0327658 0.1785833 0.8912696
0.0327096 0.1791811 0.8913457
0.0326528 0.1797884 0.8913977
0.0335381 0.1729232 0.8901981
0.0335341 0.1735462 0.8903081
0.0335277 0.1741729 0.8904321
0.0335182 0.1747964 0.8905624
0.0334944 0.1754102 0.8906788
0.0334712 0.1760258 0.8908010
0.0334436 0.1766471 0.8909247
0.0334157 0.1772681 0.8910469
0.0333696 0.1779103 0.8911917
0.0332945 0.1785289 0.8912925
0.0334636 0.1795035 0.8914759
0.0341825 0.1729569 0.8900883
0.0341717 0.1735586 0.8902015
0.0341561 0.1741674 0.8903401
0.0341372 0.1747782 0.8904895
0.0341043 0.1753827 0.8906310
0.0340688 0.1759896 0.8907772
0.0340285 0.1766020 0.8909289
0.0339875 0.1772134 0.8910775
0.0339241 0.1778573 0.8912364
0.0338319 0.1784751 0.8913407
0.0340463 0.1794714 0.8915605
0.0347685 0.1725168 0.8897856
0.0347300 0.1731047 0.8899625
0.0346818 0.1737094 0.8901418
0.0347541 0.1747685 0.8904165
0.0347128 0.1753571 0.8905999
0.0346638 0.1759517 0.8907736
0.0348440 0.1769980 0.8910512
0.0348047 0.1775995 0.8912039
0.0347442 0.1782005 0.8914041
0.0346834 0.1788179 0.8915274
0.0346217 0.1794330 0.8916349
0.0353719 0.1725292 0.8896393
0.0353270 0.1730973 0.8898419
0.0352716 0.1736815 0.8900593
