# 3D Systems, Inc.
# New Model
-0.1265268 0.1853697 0.7964794
-0.1263830 0.1835431 0.7970246
-0.1263791 0.1861523 0.7963738
-0.1263248 0.1840367 0.7969275
-0.1263418 0.1771394 0.7987344
-0.1262617 0.1845254 0.7968382
-0.1262728 0.1777087 0.7986151
-0.1262309 0.1821159 0.7974783
-0.1261823 0.1826158 0.7973776
-0.1261923 0.1850141 0.7967523
-0.1261359 0.1830953 0.7972766
-0.1261199 0.1855016 0.7966728
-0.1260891 0.1760697 0.7991741
-0.1260311 0.1799801 0.7981375
-0.1260099 0.1766172 0.7990666
-0.1259773 0.1805391 0.7980202
-0.1259258 0.1810858 0.7979047
-0.1259352 0.1744142 0.7997525
-0.1259333 0.1771689 0.7989547
-0.1258757 0.1816202 0.7977926
-0.1258848 0.1867882 0.7965058
-0.1258304 0.1821364 0.7976859
-0.1258620 0.1777256 0.7988384
-0.1258506 0.1749650 0.7996403
-0.1257827 0.1826490 0.7975808
-0.1257820 0.1851212 0.7969486
-0.1257952 0.1782870 0.7987205
-0.1257390 0.1831418 0.7974754
-0.1257656 0.1755286 0.7995198
-0.1257329 0.1788503 0.7986009
-0.1256956 0.1836224 0.7973752
-0.1257107 0.1856234 0.7968669
-0.1256739 0.1794132 0.7984811
-0.1256488 0.1840926 0.7972802
-0.1256670 0.1761343 0.7993945
-0.1256319 0.1861295 0.7967919
-0.1256162 0.1799754 0.7983611
-0.1255788 0.1845749 0.7971951
-0.1255621 0.1805344 0.7982415
-0.1255852 0.1766703 0.7992837
-0.1255105 0.1810856 0.7981239
-0.1255084 0.1772150 0.7991728
-0.1254592 0.1816276 0.7980105
-0.1254103 0.1821581 0.7978995
-0.1254339 0.1777620 0.7990604
-0.1253637 0.1826826 0.7977905
-0.1253638 0.1783142 0.7989450
-0.1253583 0.1755832 0.7997315
-0.1253197 0.1831912 0.7976825
-0.1252786 0.1836868 0.7975778
-0.1252981 0.1788712 0.7988280
-0.1252373 0.1841734 0.7974774
-0.1252359 0.1794285 0.7987080
-0.1252059 0.1862596 0.7969945
-0.1251778 0.1846716 0.7973845
-0.1251778 0.1799882 0.7985882
-0.1251225 0.1805461 0.7984680
-0.1251133 0.1851642 0.7972980
-0.1250701 0.1811013 0.7983498
-0.1250187 0.1816491 0.7982336
-0.1250319 0.1856607 0.7972244
-0.1249721 0.1821854 0.7981204
-0.1249821 0.1778131 0.7992851
-0.1249257 0.1827183 0.7980085
-0.1249111 0.1783550 0.7991712
-0.1248819 0.1832398 0.7978967
-0.1248395 0.1837484 0.7977903
-0.1248429 0.1789048 0.7990558
-0.1247984 0.1842494 0.7976875
-0.1247799 0.1794568 0.7989372
-0.1247907 0.1767427 0.7996966
-0.1247800 0.1863761 0.7971986
-0.1247428 0.1847603 0.7975903
-0.1247225 0.1800112 0.7988173
-0.1247213 0.1772964 0.7995699
-0.1246847 0.1852672 0.7975008
-0.1246691 0.1805662 0.7986966
-0.1246181 0.1811219 0.7985767
-0.1246142 0.1857797 0.7974190
-0.1245692 0.1816726 0.7984569
-0.1245234 0.1822159 0.7983413
-0.1244794 0.1827558 0.7982265
-0.1244370 0.1832874 0.7981139
-0.1243946 0.1838079 0.7980051
-0.1243523 0.1843224 0.7978990
-0.1243461 0.1864837 0.7974062
-0.1243023 0.1795020 0.7991678
-0.1243013 0.1848431 0.7977984
-0.1242824 0.1773404 0.7997856
-0.1242438 0.1800509 0.7990488
-0.1242485 0.1853606 0.7977044
-0.1242194 0.1778952 0.7996569
-0.1241909 0.1806012 0.7989294
-0.1241874 0.1858862 0.7976177
-0.1241605 0.1784535 0.7995284
-0.1241418 0.1811557 0.7988081
-0.1241104 0.1790100 0.7993990
-0.1240970 0.1817094 0.7986877
-0.1240537 0.1822592 0.7985685
-0.1240108 0.1828036 0.7984502
-0.1239710 0.1833426 0.7983348
-0.1239324 0.1838721 0.7982251
-0.1238923 0.1843952 0.7981163
-0.1238979 0.1865833 0.7976201
-0.1238493 0.1849217 0.7980144
-0.1238074 0.1795564 0.7994008
-0.1238023 0.1854476 0.7979173
-0.1237493 0.1800996 0.7992829
-0.1237494 0.1859812 0.7978269
-0.1236966 0.1806465 0.7991631
-0.1237029 0.1784919 0.7997477
-0.1236493 0.1812000 0.7990424
-0.1236500 0.1790442 0.7996194
-0.1236072 0.1817539 0.7989193
-0.1235669 0.1823060 0.7987981
-0.1235285 0.1828549 0.7986792
-0.1234907 0.1833985 0.7985616
-0.1234549 0.1839344 0.7984491
-0.1234401 0.1866747 0.7978408
-0.1234195 0.1844653 0.7983413
-0.1233801 0.1849955 0.7982348
-0.1233391 0.1855254 0.7981373
-0.1232928 0.1860625 0.7980446
-0.1232522 0.1801574 0.7995121
-0.1231992 0.1806983 0.7993944
-0.1231498 0.1812495 0.7992746
-0.1231273 0.1796378 0.7997135
-0.1231088 0.1818035 0.7991524
-0.1230706 0.1823584 0.7990301
-0.1230360 0.1829104 0.7989083
-0.1230016 0.1834587 0.7987901
-0.1229674 0.1840002 0.7986759
-0.1229347 0.1845373 0.7985668
-0.1228998 0.1850740 0.7984631
-0.1228617 0.1856088 0.7983627
-0.1228211 0.1861492 0.7982679
-0.1227760 0.1866937 0.7981820
-0.1226577 0.1813026 0.7995013
-0.1226134 0.1818550 0.7993808
-0.1225746 0.1824112 0.7992590
-0.1225537 0.1807887 0.7996870
-0.1225401 0.1829658 0.7991370
-0.1225074 0.1835186 0.7990188
-0.1224746 0.1840649 0.7989050
-0.1224422 0.1846060 0.7987950
-0.1224094 0.1851460 0.7986903
-0.1223761 0.1856850 0.7985914
-0.1223404 0.1862291 0.7984958
-0.1223026 0.1867756 0.7984099
-0.1221700 0.1813563 0.7997237
-0.1221208 0.1819024 0.7996078
-0.1220781 0.1824598 0.7994882
-0.1220433 0.1830179 0.7993679
-0.1220105 0.1835760 0.7992494
-0.1219784 0.1841281 0.7991342
-0.1219467 0.1846742 0.7990250
-0.1219153 0.1852169 0.7989209
-0.1218835 0.1857580 0.7988214
-0.1218524 0.1863031 0.7987296
-0.1215850 0.1825142 0.7997160
-0.1215484 0.1830723 0.7995970
-0.1215151 0.1836328 0.7994792
-0.1214852 0.1841902 0.7993642
-0.1214544 0.1847396 0.7992552
-0.1214231 0.1852841 0.7991501
-0.1213930 0.1858269 0.7990515
-0.1213638 0.1863723 0.7989606
-0.1210235 0.1836907 0.7997046
-0.1209909 0.1842480 0.7995913
-0.1209606 0.1847997 0.7994818
-0.1209307 0.1853474 0.7993807
-0.1209027 0.1858928 0.7992827
-0.1208750 0.1864382 0.7991902
-0.1204695 0.1848592 0.7997077
-0.1204361 0.1854084 0.7996070
-0.1204068 0.1859557 0.7995098
-0.1203796 0.1865012 0.7994203
-0.1199247 0.1860247 0.7997312
-0.1198922 0.1865682 0.7996444
-0.1278755 0.2002594 0.7954343
-0.1275443 0.2001201 0.7956915
-0.1274981 0.1996098 0.7956442
-0.1274564 0.1991049 0.7955919
-0.1274190 0.1978311 0.7954163
-0.1274037 0.1966291 0.7952139
-0.1273574 0.1961593 0.7951768
-0.1273108 0.1956820 0.7951435
-0.1271478 0.1994567 0.7958892
-0.1272632 0.1951997 0.7951166
-0.1270963 0.1989448 0.7958400
-0.1270563 0.1976804 0.7956424
-0.1267978 0.1992957 0.7961345
-0.1268786 0.1946290 0.7952908
-0.1267376 0.1987845 0.7960826
-0.1268357 0.1941396 0.7952667
-0.1268029 0.1936496 0.7952546
-0.1267912 0.1906987 0.7952923
