# 3D Systems, Inc.
# New Model
-0.1560638 0.1743512 0.8611483
-0.1555294 0.1742900 0.8611882
-0.1415161 0.1744895 0.8616405
-0.1409106 0.1745073 0.8616033
-0.1520575 0.1745314 0.8616070
-0.1514444 0.1745119 0.8616335
-0.1508288 0.1744923 0.8616698
-0.1502091 0.1744768 0.8616992
-0.1495862 0.1744647 0.8617189
-0.1487499 0.1745374 0.8617803
-0.1481471 0.1745282 0.8617901
-0.1475420 0.1745176 0.8617930
-0.1469336 0.1745065 0.8617969
-0.1463340 0.1745023 0.8618003
-0.1457286 0.1744968 0.8617968
-0.1452097 0.1744464 0.8617667
-0.1445888 0.1744478 0.8617589
-0.1439683 0.1744492 0.8617501
-0.1433519 0.1744524 0.8617350
-0.1427388 0.1744634 0.8617087
-0.1421271 0.1744760 0.8616755
-0.1403078 0.1745241 0.8615616
-0.1397074 0.1745402 0.8615264
-0.1381353 0.1746240 0.8614538
-0.1375238 0.1746561 0.8614213
-0.1369161 0.1746856 0.8614031
-0.1359465 0.1742492 0.8613159
-0.1358952 0.1748140 0.8613705
-0.1353732 0.1742851 0.8613094
-0.1353207 0.1748554 0.8613594
-0.1348044 0.1743193 0.8613222
-0.1342509 0.1743500 0.8613454
-0.1336993 0.1743826 0.8613735
-0.1331598 0.1744099 0.8614103
-0.1326562 0.1744264 0.8614515
-0.1321535 0.1744514 0.8615226
-0.1316626 0.1744782 0.8616203
-0.1311816 0.1745050 0.8616927
-0.1307105 0.1745444 0.8618092
-0.1299688 0.1741713 0.8620502
-0.1299466 0.1747891 0.8620249
-0.1294951 0.1741721 0.8621988
-0.1294700 0.1747952 0.8621780
-0.1290170 0.1741874 0.8623271
-0.1289877 0.1748102 0.8623100
-0.1281785 0.1744091 0.8626760
-0.1556325 0.1758500 0.8616249
-0.1555949 0.1768458 0.8617999
-0.1555843 0.1753689 0.8615098
-0.1551649 0.1777679 0.8619883
-0.1551559 0.1782603 0.8620271
-0.1551562 0.1828555 0.8617785
-0.1551528 0.1772804 0.8619180
-0.1551507 0.1833621 0.8616615
-0.1551442 0.1811442 0.8620247
-0.1551384 0.1768002 0.8618533
-0.1551279 0.1821414 0.8618876
-0.1551224 0.1816585 0.8619382
-0.1551165 0.1757990 0.8616811
-0.1551067 0.1841407 0.8614958
-0.1550966 0.1846693 0.8613474
-0.1550960 0.1851965 0.8612095
-0.1550827 0.1753098 0.8615667
-0.1549787 0.1860006 0.8610014
-0.1549743 0.1865281 0.8608508
-0.1547063 0.1777395 0.8620230
-0.1547017 0.1772435 0.8619642
-0.1546947 0.1782330 0.8620707
-0.1546949 0.1767554 0.8618975
-0.1546426 0.1811851 0.8620482
-0.1546396 0.1821634 0.8619104
-0.1546323 0.1816857 0.8619698
-0.1545953 0.1833829 0.8616962
-0.1545938 0.1828776 0.8618067
-0.1545857 0.1757498 0.8617281
-0.1545655 0.1752535 0.8616129
-0.1545118 0.1852019 0.8612394
-0.1545026 0.1841633 0.8615197
-0.1545023 0.1846834 0.8613707
-0.1543586 0.1860096 0.8610028
-0.1542163 0.1777080 0.8620613
-0.1541945 0.1782192 0.8621036
-0.1541235 0.1812189 0.8620858
-0.1541121 0.1821926 0.8619378
-0.1541082 0.1817173 0.8620098
-0.1541021 0.1826707 0.8618671
-0.1540384 0.1767316 0.8619518
-0.1540361 0.1762157 0.8618619
-0.1540315 0.1757045 0.8617730
-0.1540209 0.1834002 0.8617358
-0.1540199 0.1752035 0.8616556
-0.1539132 0.1851959 0.8612539
-0.1538971 0.1846907 0.8613906
-0.1538913 0.1841762 0.8615381
-0.1537371 0.1860172 0.8609996
-0.1536865 0.1776810 0.8620989
-0.1536656 0.1782047 0.8621375
-0.1535794 0.1812552 0.8621239
-0.1535688 0.1822260 0.8619725
-0.1535656 0.1817576 0.8620442
-0.1535591 0.1826917 0.8618854
-0.1534696 0.1756665 0.8617906
-0.1534656 0.1761815 0.8619001
-0.1534596 0.1767064 0.8619914
-0.1534615 0.1751574 0.8616901
-0.1534381 0.1834150 0.8617589
-0.1533088 0.1851960 0.8612620
-0.1532887 0.1846974 0.8614039
-0.1532755 0.1841873 0.8615509
-0.1531137 0.1860239 0.8609942
-0.1530115 0.1812992 0.8621455
-0.1530086 0.1822643 0.8619942
-0.1530064 0.1827191 0.8618981
-0.1529982 0.1817940 0.8620689
-0.1528928 0.1756218 0.8618199
-0.1528836 0.1761493 0.8619313
-0.1528868 0.1751075 0.8617178
-0.1528726 0.1766850 0.8620242
-0.1528494 0.1772409 0.8620976
-0.1528447 0.1834284 0.8617760
-0.1528283 0.1778040 0.8621529
-0.1526977 0.1851897 0.8612665
-0.1526785 0.1846983 0.8614162
-0.1526614 0.1841921 0.8615666
-0.1524927 0.1860248 0.8609866
-0.1524223 0.1813343 0.8621639
-0.1524235 0.1822920 0.8620118
-0.1524207 0.1827375 0.8619100
-0.1524103 0.1818284 0.8620840
-0.1522834 0.1761239 0.8619580
-0.1522736 0.1766680 0.8620507
-0.1522515 0.1772274 0.8621242
-0.1522376 0.1834328 0.8617898
-0.1522268 0.1777956 0.8621767
-0.1551481 0.1792183 0.8620397
